Metabolomic Feature,Retention Time,m/z,Cluster (if DA),Putative Chemical Class,Exact Match to Standard (* = isomer family),Adduct
C18-neg_Cluster_1045,10.555839,427.261603,39,"Bile acids, alcohols and derivatives",chenodeoxycholate,[M+Cl]-
C18-neg_Cluster_0832,10.555098,391.284991,11,"Bile acids, alcohols and derivatives",chenodeoxycholate,[M-H]-
C18-neg_Cluster_1292,10.556944,459.272582,11,"Bile acids, alcohols and derivatives",chenodeoxycholate,[Unknown]-
C18-neg_Cluster_1060,10.555864,429.258863,39,"Bile acids, alcohols and derivatives",chenodeoxycholate,[Unknown]-
C18-neg_Cluster_1129,10.556245,438.291909,39,"Bile acids, alcohols and derivatives",chenodeoxycholate,[Unknown]-
HILIC-neg_Cluster_1360,4.051794,391.285236,#N/A,"Bile acids, alcohols and derivatives",chenodeoxycholate/deoxycholate*,[M-H]-
C18-neg_Cluster_1258,9.128415,453.286095,39,"Bile acids, alcohols and derivatives",cholate,[M+FA-H]-
C18-neg_Cluster_0930,9.127927,407.280078,39,"Bile acids, alcohols and derivatives",cholate,[M-H]-
HILIC-neg_Cluster_1403,4.211117,407.279787,39,"Bile acids, alcohols and derivatives",cholate,[M-H]-
C18-neg_Cluster_1178,9.128149,445.253250,39,"Bile acids, alcohols and derivatives",cholate,[Unknown]-
C18-neg_Cluster_1273,9.127798,455.290179,39,"Bile acids, alcohols and derivatives",cholate,[Unknown]-
C18-neg_Cluster_1372,9.126423,470.275041,39,"Bile acids, alcohols and derivatives",cholate,[Unknown]-
C18-neg_Cluster_1621,9.126215,507.204410,39,"Bile acids, alcohols and derivatives",cholate,[Unknown]-
C18-neg_Cluster_1722,9.127678,525.214869,39,"Bile acids, alcohols and derivatives",cholate,[Unknown]-
C8-pos_Cluster_1849,7.003781,769.684326,7,Cholesterols and derivatives,cholestenone,[2M+H]+
C8-pos_Cluster_1900,7.005319,791.667671,7,Cholesterols and derivatives,cholestenone,[2M+Na]+
C8-pos_Cluster_0478,7.006923,385.346243,7,Cholesterols and derivatives,cholestenone,[M+H]+
C8-pos_Cluster_0554,7.008068,407.328289,7,Cholesterols and derivatives,cholestenone,[M+Na]+
C8-pos_Cluster_0629,7.005191,425.338977,7,Cholesterols and derivatives,cholestenone,[M-H2O+Na]+
C8-pos_Cluster_0705,7.003234,443.399209,7,Cholesterols and derivatives,cholestenone,[Unknown]
C8-pos_Cluster_0416,7.217012,369.351917,#N/A,#N/A,cholesterol,[M-H2O+Na]+
HILIC-pos_Cluster_0022,8.170531,104.107031,#N/A,Quaternary ammonium salts,choline,[M+H]+
HILIC-neg_Cluster_0392,9.415773,191.019484,#N/A,Tricarboxylic acids and derivatives,citrate,[M-H]-
HILIC-pos_Cluster_0306,8.357386,176.102204,#N/A,L-alpha-amino acids,citrulline,[M+H]+
HILIC-neg_Cluster_0296,3.641507,174.088119,#N/A,L-alpha-amino acids,citrulline,[M-H]-
HILIC-pos_Cluster_0090,8.298269,132.076330,2,Alpha amino acids and derivatives,creatine,[M+H]+
HILIC-pos_Cluster_0036,6.423718,114.066154,#N/A,"Amino acids, peptides, and analogues",creatinine,[M+H]+
HILIC-neg_Cluster_0677,6.288915,239.016360,3,L-cysteine-S-conjugates,cystine,[M-H]-
HILIC-pos_Cluster_0032,6.124610,112.050537,#N/A,#N/A,cytosine,[M+H]+
C18-neg_Cluster_0833,10.769622,391.285468,#N/A,"Bile acids, alcohols and derivatives",deoxycholic acid,[M-H]-
HILIC-pos_Cluster_0734,4.976754,253.092331,#N/A,Purine nucleosides,deoxyinosine,[M+H]+
HILIC-neg_Cluster_0740,2.786193,251.078022,#N/A,Purine nucleosides,deoxyinosine,[M-H]-
HILIC-pos_Cluster_0936,10.204002,287.242938,#N/A,Acetamides,diacetylspermine,[M+H]+
HILIC-neg_Cluster_0199,4.819288,153.018996,#N/A,Benzoic acids and derivatives,dihydroxybenzoic acid,[M-H]-
HILIC-pos_Cluster_0298,10.220459,175.143734,2,Alpha amino acids,dimethyllysine,[M+H]+
C18-neg_Cluster_0472,14.089371,327.232620,13,#N/A,docosahexaenoic acid,[M-H]-
HILIC-neg_Cluster_1126,3.185725,329.248268,11,Very long-chain fatty acids,docosapentaenoate,[M-H]-
C18-neg_Cluster_0490,14.446319,329.248634,11,Very long-chain fatty acids,docosapentaenoic acid,[M-H]-
C18-neg_Cluster_0863,14.443008,397.235541,11,Very long-chain fatty acids,docosapentaenoic acid,[M-H+Na-2H]-
C18-neg_Cluster_0729,14.444973,375.253555,5,Very long-chain fatty acids,docosapentaenoic acid ,[M+FA-H]-
C18-neg_Cluster_1324,14.441559,465.223168,11,Very long-chain fatty acids,docosapentaenoic acid ,[Unknown]-
C18-neg_Cluster_0111,8.008681,229.143876,1,Medium-chain fatty acids,dodecanedioic acid,[M-H]-
HILIC-neg_Cluster_1002,3.237376,301.216907,1,Fatty acids and conjugates,eicosapentaenoic acid,[M-H]-
C18-neg_Cluster_0351,13.624069,301.217166,#N/A,Fatty acids and conjugates,eicosapentaenoic acid,[M-H]-
C18-neg_Cluster_0591,14.777768,351.253912,5,Long-chain fatty acids,eicosatrienoic acid,[M+FA-H]-
C18-neg_Cluster_0361,14.776990,305.248483,11,Long-chain fatty acids,eicosatrienoic acid,[M-H]-
C18-neg_Cluster_0373,16.115366,309.279965,#N/A,Long-chain fatty acids,eicosenoate,[M-H]-
C8-pos_Cluster_0737,7.858286,449.374078,#N/A,#N/A,epoxysqualene,[M+Na]+
HILIC-neg_Cluster_0122,4.425442,135.029822,1,#N/A,erythronic acid,[M-H]-
HILIC-pos_Cluster_0913,1.683218,283.262043,29,Fatty acid esters,ethyl 9-hexadecenoate,[M+H]+
HILIC-neg_Cluster_0562,4.030186,221.066307,#N/A,O-glucuronides,ethyl glucuronide,[M-H]-
HILIC-neg_Cluster_0321,2.156899,179.055912,#N/A,Hexoses,fructose/glucose/galactose*,[M-H]-
HILIC-neg_Cluster_0237,1.587833,163.061029,#N/A,Hexoses,fucose,[M-H]-
HILIC-neg_Cluster_0061,7.325485,115.003510,#N/A,#N/A,fumarate/maleate*,[M-H]-
HILIC-pos_Cluster_0658,1.898880,239.163255,5,Fatty alcohol esters,geranyl acetoacetate*,[M+H]+
HILIC-pos_Cluster_0657,1.751914,239.163339,#N/A,Fatty alcohol esters,geranyl acetoacetate*,[M+H]+
HILIC-neg_Cluster_0401,5.450615,193.035127,#N/A,Glucuronic acid derivatives,glucurote,[M-H]-
HILIC-pos_Cluster_0160,7.613393,148.059769,#N/A,"Amino acids, peptides, and analogues",glutamate,[M+H]+
HILIC-neg_Cluster_0166,5.321273,146.045723,#N/A,Glutamic acid and derivatives,glutamate,[M-H]-
HILIC-pos_Cluster_0156,8.046524,147.075928,#N/A,L-alpha-amino acids,glutamine,[M+H]+
HILIC-neg_Cluster_0162,3.695059,145.061820,#N/A,L-alpha-amino acids,glutamine,[M-H]-
HILIC-neg_Cluster_0036,4.394749,105.019192,#N/A,Sugar acids and derivatives,glycerate,[M-H]-
HILIC-neg_Cluster_1571,4.042977,464.301241,#N/A,#N/A,glycocholate,[M-H]-
C18-neg_Cluster_1196,9.517750,448.306747,#N/A,#N/A,glycodeoxycholic acid,[M-H]-
C18-neg_Cluster_1081,10.904173,432.311815,#N/A,#N/A,glycolithocholic acid,[M-H]-
C18-neg_Cluster_1197,8.102488,448.306860,#N/A,#N/A,glycoursodeoxycholic acid,[M-H]-
HILIC-neg_Cluster_0182,2.648227,150.041827,2,Imidazopyrimidines,guanine,[M-H]-
HILIC-neg_Cluster_0909,3.055665,282.084094,#N/A,Purine nucleosides,guanosine,[M-H]-
HILIC-neg_Cluster_0841,3.279936,269.248492,#N/A,Long-chain fatty acids,heptadecanoate,[M-H]-
C18-neg_Cluster_0268,10.782020,285.206703,1,Long-chain fatty acids,hexadecanedioic acid,[M-H]-
HILIC-pos_Cluster_0033,9.120918,112.086877,#N/A,#N/A,histamine,[M+H]+
HILIC-neg_Cluster_0201,4.037108,154.061827,#N/A,"Amino acids, peptides, and analogues",histidine,[M-H]-
HILIC-neg_Cluster_0328,4.570257,181.050492,#N/A,Phenols,homovanillate,[M-H]-
HILIC-neg_Cluster_0181,3.875114,149.060668,1,#N/A,hydrocinnamic acid,[M-H]-
HILIC-neg_Cluster_0070,3.714219,117.055643,#N/A,Hydroxy fatty acids,hydroxyisovaleric acid,[M-H]-
HILIC-pos_Cluster_0089,7.892168,132.065131,#N/A,#N/A,hydroxyproline,[M+H]+
C18-neg_Cluster_0830,9.249408,391.285090,#N/A,#N/A,hyodeoxycholate/ursodeoxycholate*,[M-H]-
HILIC-pos_Cluster_0108,4.825592,137.045333,#N/A,Purines and purine derivatives,hypoxanthine,[M+H]+
HILIC-neg_Cluster_0123,3.252362,135.031148,#N/A,Purines and purine derivatives,hypoxanthine,[M-H]-
HILIC-pos_Cluster_0121,7.393472,141.065236,#N/A,Azoles,imidazole propionate,[M+H]+
HILIC-neg_Cluster_0204,4.568166,155.045875,#N/A,Azoles,imidazolelactate,[M-H]-
HILIC-pos_Cluster_0822,4.862826,269.086999,#N/A,Purine nucleosides,inosine,[M+H]+
HILIC-neg_Cluster_0824,3.396744,267.072637,#N/A,Purine nucleosides,inosine,[M-H]-
HILIC-pos_Cluster_0092,7.039731,132.101601,#N/A,Isoleucine and derivatives,isoleucine,[M+H]+
C18-neg_Cluster_0900,8.346794,405.264403,#N/A,#N/A,ketodeoxycholate,[M-H]-
HILIC-pos_Cluster_0383,5.218416,190.049178,#N/A,Quinolines and derivatives,kynurenic acid,[M+H]+
HILIC-pos_Cluster_0521,6.360789,217.096207,1,Pyridoindoles,"L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*",[M+H]+
HILIC-neg_Cluster_0020,4.030335,89.024276,1,Hydroxy acids and derivatives,lactate,[M-H]-
HILIC-neg_Cluster_1170,2.609105,341.108598,#N/A,O-glycosyl compounds,lactose,[M-H]-
HILIC-pos_Cluster_0091,6.911032,132.101541,#N/A,"Amino acids, peptides, and analogues",leucine,[M+H]+
HILIC-neg_Cluster_0105,2.624067,130.087084,#N/A,"Amino acids, peptides, and analogues",leucine,[M-H]-
HILIC-neg_Cluster_0230,7.130819,161.045377,#N/A,#N/A,levoglucosan,[M-H]-
C18-neg_Cluster_0246,14.484832,279.232943,9,#N/A,linoleic acid,[M-H]-
HILIC-neg_Cluster_1325,1.076403,382.295979,18,Organonitrogen compounds,linoleoyl ethanolamide,[M+CH3COO]-
HILIC-pos_Cluster_1160,1.942824,326.303789,18,Organonitrogen compounds,linoleoyl ethanolamide,[Unknown]+
C8-pos_Cluster_1495,4.768315,669.554472,1,Organonitrogen compounds,linoleoyl ethanolamide ,[2M+Na]+
C8-pos_Cluster_0264,4.769408,324.290218,18,Organonitrogen compounds,linoleoyl ethanolamide ,[M+H]+
HILIC-pos_Cluster_1148,1.941643,324.288410,18,Organonitrogen compounds,linoleoyl ethanolamide ,[M+H]+
C8-pos_Cluster_0339,4.773251,346.271831,18,Organonitrogen compounds,linoleoyl ethanolamide ,[M+Na]+
HILIC-neg_Cluster_1088,1.067339,322.274920,18,Organonitrogen compounds,linoleoyl ethanolamide ,[M-H]-
HILIC-neg_Cluster_1303,3.949561,375.290195,#N/A,#N/A,lithocholate,[M-H]-
C18-neg_Cluster_0731,12.432525,375.290130,#N/A,#N/A,lithocholic acid,[M-H]-
HILIC-neg_Cluster_0247,3.820866,165.055393,3,Phenylpropanoic acids,L-phenyllactic acid,[M-H]-
HILIC-pos_Cluster_0157,9.370000,147.112492,#N/A,"Amino acids, peptides, and analogues",lysine,[M+H]+
HILIC-neg_Cluster_0118,7.324073,133.014111,#N/A,#N/A,malate,[M-H]-
HILIC-neg_Cluster_0033,7.481365,103.003626,#N/A,Dicarboxylic acids and derivatives,malonate,[M-H]-
C18-neg_Cluster_1680,11.823681,517.353113,3,#N/A,maslinic acid,[M+FA-H]-
C18-neg_Cluster_1385,11.823927,471.347521,3,#N/A,maslinic acid,[M-H]-
C18-neg_Cluster_1803,11.824683,539.334150,2,#N/A,maslinic acid,[Unknown]-
C18-neg_Cluster_2068,11.824201,607.321568,2,#N/A,maslinic acid,[Unknown]-
HILIC-pos_Cluster_0167,6.997128,150.057729,#N/A,Methionine and derivatives,methionine,[M+H]+
HILIC-neg_Cluster_0173,3.157803,148.043660,#N/A,Methionine and derivatives,methionine,[M-H]-
HILIC-pos_Cluster_0244,8.618429,166.052769,1,Alpha amino acids,methionine sulfoxide,[M+H]+
HILIC-neg_Cluster_0030,3.798640,101.060650,#N/A,Methyl-branched fatty acids,methylbutyric aid / valeric / isovaleric*,[M-H]-
HILIC-pos_Cluster_0191,4.249376,153.065281,#N/A,Pyridines and derivatives,methylpyridonecarboxamide,[M+H]+
C18-neg_Cluster_0107,14.008037,227.200845,#N/A,Long-chain fatty acids,myristic acid,[M-H]-
HILIC-neg_Cluster_0372,7.016821,188.056303,6,Glutamic acid and derivatives,N-acetylglutamate,[M-H]-
HILIC-pos_Cluster_0384,4.509500,190.070536,6,Glutamic acid and derivatives,N-acetylglutamic acid,[M+H]+
HILIC-pos_Cluster_0495,4.512609,212.052212,6,Glutamic acid and derivatives,N-acetylglutamic acid,[M+Na]+
HILIC-pos_Cluster_0419,8.356582,198.084419,#N/A,Histidine and derivatives,N-acetylhistidine,[M+H]+
HILIC-pos_Cluster_0524,8.115299,217.128660,1,N-acyl-L-alpha-amino acids,N-acetyl-L-arginine,[M+H]+
HILIC-pos_Cluster_0086,7.827926,131.117560,2,Carboximidic acids and derivatives,N-acetylputrescine,[M+H]+
HILIC-pos_Cluster_0038,7.827840,114.091289,2,Carboximidic acids and derivatives,N-acetylputrescine,[Unknown]+
HILIC-pos_Cluster_0374,9.710596,188.175124,#N/A,Carboximidic acids and derivatives,N-acetylspermidine,[M+H]+
C18-neg_Cluster_0672,17.959622,365.342106,#N/A,Very long-chain fatty acids,nervonic acid,[M-H]-
HILIC-neg_Cluster_0082,4.196408,122.024696,3,Pyridinecarboxylic acids and derivatives,nicotinate,[M-H]-
HILIC-pos_Cluster_0062,3.650861,124.039165,3,Pyridinecarboxylic acids and derivatives,nicotinic acid,[M+H]+
HILIC-pos_Cluster_0082,8.568446,130.086042,#N/A,#N/A,N-methylproline,[M+H]+
HILIC-pos_Cluster_0378,9.336896,189.133885,#N/A,Arginine and derivatives,NMMA,[M+H]+
C8-pos_Cluster_0341,5.107714,348.287170,18,Organonitrogen compounds,N-oleoylethanolamine ,[M+Na]+
C18-neg_Cluster_1596,13.873411,501.358025,5,#N/A,oleanolic acid,[M+FA-H]-
C18-neg_Cluster_1275,13.874660,455.352797,5,#N/A,oleanolic acid,[M-H]-
C18-neg_Cluster_0250,15.272049,281.248551,#N/A,#N/A,oleic acid,[M-H]-
HILIC-pos_Cluster_0100,9.281319,133.096824,#N/A,"Amino acids, peptides, and analogues",ornithine,[M+H]+
HILIC-neg_Cluster_0203,4.709074,155.009615,#N/A,Pyrimidines and pyrimidine derivatives,orotate,[M-H]-
HILIC-neg_Cluster_0016,7.766292,88.987993,#N/A,Dicarboxylic acids and derivatives,oxalate,[M-H]-
C18-neg_Cluster_0171,15.156930,255.232602,#N/A,Fatty acids and conjugates,palmitic acid,[M-H]-
C18-neg_Cluster_0164,14.212543,253.216969,#N/A,Long-chain fatty acids,palmitoleic acid,[M-H]-
C8-pos_Cluster_0288,5.126296,331.283872,#N/A,2-monoacylglycerols,palmitoyl glycerol,[M+H]+
C18-neg_Cluster_0515,13.727848,334.251780,2,Carboximidic acids and derivatives,palmitoylethanolamide,[M+Cl]-
C18-neg_Cluster_0563,13.726077,344.280356,3,Carboximidic acids and derivatives,palmitoylethanolamide,[M+FA]-
C8-pos_Cluster_0168,4.923002,300.289632,18,Carboximidic acids and derivatives,palmitoylethanolamide,[M+H]+
HILIC-pos_Cluster_0540,3.034481,220.117078,3,"Amino acids, peptides, and analogues",pantothenate,[M+H]+
HILIC-neg_Cluster_0552,4.073403,218.102997,#N/A,"Amino acids, peptides, and analogues",pantothete,[M-H]-
HILIC-neg_Cluster_0697,3.341595,241.217098,#N/A,Long-chain fatty acids,pentadecanoate,[M-H]-
HILIC-neg_Cluster_0125,3.972693,135.045062,#N/A,#N/A,phenylacetate,[M-H]-
HILIC-pos_Cluster_0248,6.660172,166.085878,#N/A,Phenylalanine and derivatives,phenylalanine,[M+H]+
HILIC-neg_Cluster_0242,3.237110,164.071506,#N/A,Phenylpropanoic acids,phenylalanine,[M-H]-
C18-neg_Cluster_0031,2.554265,165.054458,#N/A,Phenylpropanoic acids,phenyllactate,[M-H]-
C18-neg_Cluster_0019,1.470262,151.038765,#N/A,Phenols,p-hydroxyphenylacetate,[M-H]-
HILIC-pos_Cluster_1113,5.807391,318.298969,1,Organonitrogen compounds,phytosphingosine,[M+H]+
HILIC-pos_Cluster_0081,7.930976,130.086018,2,L-alpha-amino acids,pipecolic acid,[M+H]+
C8-pos_Cluster_0136,3.671675,286.143984,#N/A,#N/A,piperine,[M+H]+
HILIC-pos_Cluster_0927,1.891232,286.142786,#N/A,#N/A,piperine,[M+H]+
HILIC-pos_Cluster_0041,8.073911,116.070546,#N/A,"Amino acids, peptides, and analogues",proline,[M+H]+
HILIC-neg_Cluster_0059,3.059664,114.055988,#N/A,"Amino acids, peptides, and analogues",proline,[M-H]-
HILIC-pos_Cluster_0134,9.166394,144.101344,#N/A,Proline and derivatives,proline betaine,[M+H]+
HILIC-neg_Cluster_0003,4.047601,73.029320,#N/A,Carboxylic acids,propionate,[M-H]-
HILIC-neg_Cluster_0707,2.338077,243.061931,#N/A,Nucleoside and nucleotide analogues,pseudouridine,[M-H]-
HILIC-pos_Cluster_0007,9.291155,89.107655,#N/A,Amines,putrescine,[M+H]+
HILIC-pos_Cluster_0268,9.033352,169.096593,3,Pyridoxamines,pyridoxamine,[M+H]+
HILIC-pos_Cluster_0184,9.029533,152.069805,3,Pyridoxamines,pyridoxamine,[M-OH+H]+
HILIC-neg_Cluster_0040,1.455358,109.029385,1,Benzenediols,pyrocatechol,[M-H]-
HILIC-pos_Cluster_0079,8.044523,130.049500,#N/A,Alpha amino acids and derivatives,pyroglutamic acid,[M+H]+
HILIC-neg_Cluster_0192,1.757746,151.060860,#N/A,Sugar alcohols,ribitol,[M-H]-
HILIC-neg_Cluster_1300,1.613945,375.130015,#N/A,Alloxazines and isoalloxazines,riboflavin,[M-H]-
HILIC-neg_Cluster_0332,3.810657,181.991640,#N/A,Benzothiazoles,saccharin,[M-H]-
HILIC-neg_Cluster_0129,3.955146,137.024184,#N/A,Benzoic acids and derivatives,salicylate,[M-H]-
C18-neg_Cluster_0064,6.184348,201.112299,6,Fatty acids and conjugates,sebacate,[M-H]-
HILIC-neg_Cluster_0441,7.092408,201.113094,6,Fatty acids and conjugates,sebacate,[M-H]-
HILIC-pos_Cluster_0024,7.675720,106.049891,#N/A,"Amino acids, peptides, and analogues",serine,[M+H]+
HILIC-neg_Cluster_0035,4.041081,104.035333,#N/A,"Amino acids, peptides, and analogues",serine,[M-H]-
HILIC-neg_Cluster_0283,4.737642,173.044913,#N/A,#N/A,shikimate,[M-H]-
HILIC-neg_Cluster_0331,2.013620,181.071617,#N/A,Sugar alcohols,sorbitol,[M-H]-
HILIC-pos_Cluster_1017,5.706731,302.303848,#N/A,Organonitrogen compounds,sphinganine,[M+H]+
C8-pos_Cluster_0166,4.204833,300.289756,6,Organonitrogen compounds,sphingosine,[M+H]+
C8-pos_Cluster_0123,4.220022,282.279047,2,Organonitrogen compounds,sphingosine,[M+H-H2O]+
C8-pos_Cluster_0253,4.212764,322.271398,6,Organonitrogen compounds,sphingosine,[M+Na]+
C8-pos_Cluster_0988,4.211524,535.354280,6,Organonitrogen compounds,sphingosine,[Unknown]+
C18-neg_Cluster_0256,16.093780,283.263950,#N/A,Fatty acids and conjugates,stearic acid,[M-H]-
C8-pos_Cluster_0277,5.494829,328.320676,#N/A,Organonitrogen compounds,stearoyl ethanolamide,[M+H]+
HILIC-neg_Cluster_0288,7.142564,173.081584,6,#N/A,suberate,[M-H]-
HILIC-neg_Cluster_0069,7.266082,117.019214,#N/A,Dicarboxylic acids and derivatives,succite,[M-H]-
HILIC-neg_Cluster_0174,7.406051,149.008724,#N/A,#N/A,tartarate,[M-H]-
HILIC-pos_Cluster_0066,6.103439,126.021806,5,Organosulfonic acids and derivatives,taurine,[M+H]+
HILIC-neg_Cluster_0085,3.722991,124.007185,5,Organosulfonic acids and derivatives,taurine,[M-H]-
C18-neg_Cluster_1574,8.289154,498.289107,#N/A,"Bile acids, alcohols and derivatives",taurochenodesoxycholic acid,[M-H]-
HILIC-neg_Cluster_1675,3.560883,498.289509,#N/A,#N/A,taurodeoxycholate/taurochenodeoxycholate*,[M-H]-
C18-neg_Cluster_1575,8.547102,498.289493,#N/A,#N/A,taurodeoxycholic acid,[M-H]-
C18-neg_Cluster_1576,7.263042,498.289624,1,#N/A,taurohyodeoxycholate/ tauroursodeoxycholate,[M-H]-
C18-neg_Cluster_1465,9.710907,482.294214,#N/A,#N/A,taurolithocholic acid,[M-H]-
C18-neg_Cluster_0177,9.442364,257.175625,#N/A,Long-chain fatty acids,tetradecanedioate,[M-H]-
HILIC-pos_Cluster_0797,9.503620,265.110536,2,Pyrimidines and pyrimidine derivatives,thiamine,[M]+
HILIC-pos_Cluster_0049,7.599189,120.065478,#N/A,L-alpha-amino acids,threonine,[M+H]+
HILIC-neg_Cluster_0073,3.671176,118.050840,#N/A,L-alpha-amino acids,threonine,[M-H]-
HILIC-pos_Cluster_0998,5.676804,300.288345,6,#N/A,threosphingosine,[M+H]+
HILIC-pos_Cluster_0906,5.683548,282.277950,6,#N/A,threosphingosine,[M-H2O]+
HILIC-neg_Cluster_0087,1.350997,125.035549,#N/A,Diazines,thymine,[M-H]-
HILIC-pos_Cluster_0172,7.640081,150.111879,#N/A,Alkanolamines,triethanolamine,[M+H]+
HILIC-pos_Cluster_0113,8.845482,138.054606,#N/A,#N/A,trigonelline,[M+H]+
HILIC-pos_Cluster_0054,1.656798,121.100956,#N/A,#N/A,trimethylbenzene*,[M+H]+
HILIC-pos_Cluster_0379,11.169333,189.158863,#N/A,L-alpha-amino acids,trimethyllysine,[M+H]+
HILIC-pos_Cluster_0455,6.454702,205.096333,#N/A,Indoles and derivatives,tryptophan,[M+H]+
HILIC-neg_Cluster_0452,3.456332,203.082510,#N/A,Indoles and derivatives,tryptophan,[M-H]-
HILIC-pos_Cluster_0333,6.783577,182.080679,#N/A,"Amino acids, peptides, and analogues",tyrosine,[M+H]+
HILIC-neg_Cluster_0324,3.770437,180.066485,#N/A,"Amino acids, peptides, and analogues",tyrosine,[M-H]-
C18-neg_Cluster_0079,7.187602,215.128083,3,Medium-chain fatty acids,undecanedionate,[M-H]-
HILIC-neg_Cluster_0049,1.546029,111.019898,#N/A,Pyrimidines and pyrimidine derivatives,uracil,[M-H]-
HILIC-neg_Cluster_0254,5.354563,167.020718,#N/A,Purines and purine derivatives,urate,[M-H]-
HILIC-neg_Cluster_0706,1.796623,243.061889,#N/A,#N/A,uridine,[M-H]-
C18-neg_Cluster_2021,6.512715,593.334522,15,Tetrapyrroles and derivatives,urobilin,[M-H]-
HILIC-pos_Cluster_2093,6.422734,595.346201,15,Tetrapyrroles and derivatives,urobilin*,[M+H]+
HILIC-pos_Cluster_0116,4.504729,139.049870,#N/A,Imidazoles,urocanic acid,[M+H]+
HILIC-pos_Cluster_0046,7.356815,118.086143,#N/A,"Amino acids, peptides, and analogues",valine,[M+H]+
HILIC-neg_Cluster_0066,2.876993,116.071554,#N/A,"Amino acids, peptides, and analogues",valine,[M-H]-
HILIC-neg_Cluster_0187,5.116361,151.025765,#N/A,Imidazopyrimidines,xanthine,[M-H]-
HILIC-neg_Cluster_0176,1.627438,149.045268,#N/A,Pentoses,xylose,[M-H]-
C18-neg_Cluster_1871,13.937713,554.381621,7,Monoalkylglycerophosphocholines,#N/A,#N/A
HILIC-pos_Cluster_0637,4.708345,237.097422,2,"Purine 2',3'-dideoxyribonucleosides",#N/A,#N/A
HILIC-pos_Cluster_0340,6.248527,183.090969,5,Harmala alkaloids,#N/A,#N/A
C8-pos_Cluster_0124,5.168632,282.278743,#N/A,Fatty amides,#N/A,#N/A
C8-pos_Cluster_1198,5.725738,594.380311,#N/A,#N/A,#N/A,#N/A
C8-pos_Cluster_1310,6.378397,622.444283,#N/A,#N/A,#N/A,#N/A
C18-neg_Cluster_2126,13.938076,622.369230,22,Monoalkylglycerophosphocholines,#N/A,#N/A
C18-neg_Cluster_0187,6.199732,259.181253,62,Xylenes,#N/A,#N/A
C18-neg_Cluster_0138,8.740419,243.159789,#N/A,#N/A,#N/A,#N/A
C18-neg_Cluster_0610,8.067440,355.242776,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0395,4.432753,191.056108,#N/A,#N/A,#N/A,#N/A
C18-neg_Cluster_0006,1.038347,123.043796,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0016,1.079737,145.049305,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0024,1.427809,159.065159,1,Hexoses,#N/A,#N/A
C18-neg_Cluster_0030,1.545640,165.018160,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0063,6.077740,201.112355,1,Medium-chain fatty acids,#N/A,#N/A
C18-neg_Cluster_0066,1.010086,203.055344,1,Cyclohexenones,#N/A,#N/A
C18-neg_Cluster_0069,1.009083,206.045214,1,Naphthalenes,#N/A,#N/A
C18-neg_Cluster_0087,1.809692,221.044981,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0101,2.209059,227.128249,1,Lactones,#N/A,#N/A
C18-neg_Cluster_0102,6.964521,227.128240,1,Lactones,#N/A,#N/A
C18-neg_Cluster_0116,2.027179,233.042482,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0128,4.002040,241.107748,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0140,1.346997,243.171078,1,Dipeptides,#N/A,#N/A
C18-neg_Cluster_0145,10.646721,243.196031,1,Fatty alcohols,#N/A,#N/A
C18-neg_Cluster_0150,1.015609,245.114057,1,Peptidomimetics,#N/A,#N/A
C18-neg_Cluster_0172,6.718773,257.081665,1,Isoflavonoids,#N/A,#N/A
C18-neg_Cluster_0173,7.715567,257.081781,1,Isoflavonoids,#N/A,#N/A
C18-neg_Cluster_0180,11.726781,257.211812,1,Fatty alcohols,#N/A,#N/A
C18-neg_Cluster_0205,1.065966,269.066730,1,Phenolic glycosides,#N/A,#N/A
C18-neg_Cluster_0206,6.007559,269.093028,1,Benzazepines,#N/A,#N/A
C18-neg_Cluster_0207,9.238240,269.175737,1,Macrolides and analogues,#N/A,#N/A
C18-neg_Cluster_0208,11.840579,269.212256,1,Long-chain fatty acids,#N/A,#N/A
C18-neg_Cluster_0209,11.278975,269.212204,1,Long-chain fatty acids,#N/A,#N/A
C18-neg_Cluster_0216,4.005333,271.191541,1,Sesquiterpenoids,#N/A,#N/A
C18-neg_Cluster_0217,5.604225,271.191477,1,Sesquiterpenoids,#N/A,#N/A
C18-neg_Cluster_0226,12.479053,271.227660,1,Long-chain fatty acids,#N/A,#N/A
C18-neg_Cluster_0230,1.689013,273.088165,1,Harmala alkaloids,#N/A,#N/A
C18-neg_Cluster_0239,6.543143,277.107820,1,Keto acids and derivatives,#N/A,#N/A
C18-neg_Cluster_0248,1.587313,281.139318,1,Pyrans,#N/A,#N/A
C18-neg_Cluster_0254,2.565910,283.154770,1,Artemisinins,#N/A,#N/A
C18-neg_Cluster_0265,2.076113,285.170721,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0266,2.189467,285.170799,1,#N/A,#N/A,#N/A
C18-neg_Cluster_0267,2.854580,285.170856,1,Monoterpenoids,#N/A,#N/A
